;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
33;{'n_estimators': 122, 'max_depth': 9, 'min_data_in_leaf': 54, 'learning_rate': 0.6767346938775509};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7958333333333333;0.675;0.6442366705024933;0.5708333333333333;0.5780859056597087;"[[17  0  3  0]
 [ 2  8  9  1]
 [ 1  1 53  5]
 [ 2  1 14  3]]"
34;{'n_estimators': 122, 'max_depth': 9, 'min_data_in_leaf': 47, 'learning_rate': 0.6224489795918366};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7809722222222223;0.65;0.6428404023512719;0.5583333333333333;0.563848842645444;"[[18  0  2  0]
 [ 2  7 10  1]
 [ 2  1 50  7]
 [ 1  0 16  3]]"
35;{'n_estimators': 82, 'max_depth': 7, 'min_data_in_leaf': 34, 'learning_rate': 0.38204081632653064};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8179583333333333;0.6833333333333333;0.6818837412587413;0.5833333333333334;0.5880303030303031;"[[17  0  3  0]
 [ 2  9  9  0]
 [ 2  3 53  2]
 [ 1  1 15  3]]"
36;{'n_estimators': 95, 'max_depth': 8, 'min_data_in_leaf': 25, 'learning_rate': 0.6612244897959183};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8168333333333334;0.6666666666666666;0.6714338507021433;0.5583333333333333;0.5659237476138884;"[[17  0  3  0]
 [ 2  6 12  0]
 [ 2  3 53  2]
 [ 1  1 14  4]]"
37;{'n_estimators': 133, 'max_depth': 11, 'min_data_in_leaf': 27, 'learning_rate': 0.38979591836734695};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8080694444444445;0.7;0.7200630252100839;0.5833333333333334;0.5993203794927933;"[[18  0  2  0]
 [ 2  6 11  1]
 [ 0  2 56  2]
 [ 0  0 16  4]]"
38;{'n_estimators': 110, 'max_depth': 6, 'min_data_in_leaf': 63, 'learning_rate': 0.4906122448979592};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7773333333333333;0.6583333333333333;0.6358185024851691;0.5541666666666666;0.559000337723742;"[[17  0  3  0]
 [ 2  7 10  1]
 [ 2  3 52  3]
 [ 1  0 16  3]]"
39;{'n_estimators': 106, 'max_depth': 5, 'min_data_in_leaf': 44, 'learning_rate': 0.4828571428571429};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8104861111111111;0.6916666666666667;0.6732954545454546;0.5875;0.5952380952380952;"[[18  0  2  0]
 [ 3  7  9  1]
 [ 1  2 54  3]
 [ 0  1 15  4]]"
40;{'n_estimators': 106, 'max_depth': 8, 'min_data_in_leaf': 53, 'learning_rate': 0.6767346938775509};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7947777777777778;0.6333333333333333;0.5865800865800866;0.5333333333333334;0.529465413324608;"[[17  0  3  0]
 [ 3  5 11  1]
 [ 1  3 50  6]
 [ 3  0 13  4]]"
41;{'n_estimators': 101, 'max_depth': 11, 'min_data_in_leaf': 20, 'learning_rate': 0.5293877551020408};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8023750000000001;0.6583333333333333;0.656056426635695;0.5541666666666667;0.5659082755574659;"[[17  0  3  0]
 [ 2  5 13  0]
 [ 2  3 52  3]
 [ 0  1 14  5]]"
42;{'n_estimators': 121, 'max_depth': 5, 'min_data_in_leaf': 63, 'learning_rate': 0.40530612244897957};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.781625;0.6583333333333333;0.5942366705024933;0.5458333333333333;0.5447525723263754;"[[17  1  2  0]
 [ 3  6  9  2]
 [ 1  2 53  4]
 [ 1  1 15  3]]"
